Section,Category,Item,Easy,Average,Difficult,Remodel,Old_Work,Unit
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"1/2""",3.5,4.0,4.5,5.0,5.5,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"3/4""",4.0,4.5,5.0,5.5,6.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"1""",4.5,5.0,5.5,6.0,6.5,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"1 1/4""",6.25,7.0,7.75,8.5,9.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"1 1/2""",7.0,8.0,9.0,10.0,11.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"2""",9.0,10.0,11.0,12.0,13.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"2 1/2""",10.0,12.0,13.0,14.0,15.4,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"3""",12.0,14.0,16.0,17.5,19.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"3 1/2""",14.0,16.0,18.0,19.8,22.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"4""",15.0,18.0,21.0,23.0,25.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"5""",23.0,25.0,27.0,30.0,33.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"6""",27.0,30.0,33.0,36.0,39.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"1/2""",0.15,0.2,0.25,0.28,0.3,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"3/4""",0.2,0.25,0.3,0.33,0.36,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"1""",0.25,0.3,0.35,0.39,0.42,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"1 1/4""",0.3,0.4,0.5,0.55,0.61,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"1 1/2""",0.4,0.5,0.6,0.66,0.73,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"2""",0.6,0.7,0.8,0.88,0.97,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"2 1/2""",0.9,1.0,1.1,1.21,1.33,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"3""",1.1,1.25,1.4,1.54,1.69,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"3 1/2""",1.4,1.6,1.8,1.98,2.18,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"4""",1.7,2.0,2.3,2.53,2.78,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"5""",2.5,3.0,3.5,3.85,4.24,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"6""",3.6,4.0,4.4,4.84,5.32,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"1""",0.3,0.35,0.45,0.5,0.55,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"1 1/4""",0.4,0.45,0.5,0.6,0.7,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"1 1/2""",0.5,0.6,0.7,0.8,0.9,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"2""",0.7,0.85,0.9,1.05,1.2,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"2 1/2""",1.05,1.3,1.55,1.8,2.0,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"3""",1.3,1.6,1.9,2.2,2.5,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"SWEEP 3 1/2""",1.6,2.0,2.4,2.8,3.2,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"4""",1.9,2.5,3.1,3.7,4.3,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"5""",2.8,3.6,4.4,5.2,6.0,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"6""",3.9,4.7,5.5,6.3,7.0,E
